visitID,siteID,plotID,projectID,dateVisit,observerVisit,participantEngagement,encounteredBirds,netHours,notesVisit
FERRSUEMD1_2000-06-30,FERRSUEMD1,NA,nn,2000-06-30,NA,NA,NA,NA,NA
REITBOBMD1_2000-07-01,REITBOBMD1,NA,nn,2000-07-01,NA,NA,NA,NA,NA
FERRSUEMD1_2000-07-05,FERRSUEMD1,NA,nn,2000-07-05,NA,NA,NA,NA,NA
MCKEANNVA1_2000-07-06,MCKEANNVA1,NA,nn,2000-07-06,NA,NA,NA,NA,NA
GOCHJOAMD1_2000-07-07,GOCHJOAMD1,NA,nn,2000-07-07,NA,NA,NA,NA,NA
BALAELEMD1_2000-07-12,BALAELEMD1,NA,nn,2000-07-12,NA,NA,NA,NA,NA
MCCOJOHMD1_2000-07-13,MCCOJOHMD1,NA,nn,2000-07-13,NA,NA,NA,NA,NA
SINGTONMD1_2000-07-14,SINGTONMD1,NA,nn,2000-07-14,NA,NA,NA,NA,NA
RABIANDMD1_2000-07-20,RABIANDMD1,NA,nn,2000-07-20,NA,NA,NA,NA,NA
DORNROBMD1_2000-07-21,DORNROBMD1,NA,nn,2000-07-21,NA,NA,NA,NA,NA
MITCBARMD1_2000-07-22,MITCBARMD1,NA,nn,2000-07-22,NA,NA,NA,NA,NA
OMLAKEVMD1_2000-07-24,OMLAKEVMD1,NA,nn,2000-07-24,NA,NA,NA,NA,NA
GALLMONVA1_2000-07-25,GALLMONVA1,NA,nn,2000-07-25,NA,NA,NA,NA,NA
GALLTERMD1_2000-07-25,GALLTERMD1,NA,nn,2000-07-25,NA,NA,NA,NA,NA
KOSLDREMD1_2001-03-15,KOSLDREMD1,NA,nn,2001-03-15,NA,NA,NA,NA,NA
COFFMICMD1_2001-03-22,COFFMICMD1,NA,nn,2001-03-22,NA,NA,NA,NA,NA
HAMMBARMD1_2001-03-23,HAMMBARMD1,NA,nn,2001-03-23,NA,NA,NA,NA,NA
WIKACORMD1_2001-03-26,WIKACORMD1,NA,nn,2001-03-26,NA,NA,NA,NA,NA
MARRPETMD1_2001-03-28,MARRPETMD1,NA,nn,2001-03-28,NA,NA,NA,NA,NA
MORAJANMD1_2001-04-04,MORAJANMD1,NA,nn,2001-04-04,NA,NA,NA,NA,NA
SERCGUEMD1_2001-04-05,SERCGUEMD1,NA,nn,2001-04-05,NA,NA,NA,NA,NA
DANIBARMD1_2001-04-06,DANIBARMD1,NA,nn,2001-04-06,NA,NA,NA,NA,NA
THOMSUEMD1_2001-04-09,THOMSUEMD1,NA,nn,2001-04-09,NA,NA,NA,NA,NA
OMLAKEVMD1_2001-04-09,OMLAKEVMD1,NA,nn,2001-04-09,NA,NA,NA,NA,NA
RICHLIBMD1_2001-04-10,RICHLIBMD1,NA,nn,2001-04-10,NA,NA,NA,NA,NA
GARDVALMD1_2001-04-12,GARDVALMD1,NA,nn,2001-04-12,NA,NA,NA,NA,NA
GROSJEAMD1_2001-04-12,GROSJEAMD1,NA,nn,2001-04-12,NA,NA,NA,NA,NA
SUITKATMD1_2001-04-14,SUITKATMD1,NA,nn,2001-04-14,NA,NA,NA,NA,NA
WISECELMD1_2001-04-17,WISECELMD1,NA,nn,2001-04-17,NA,NA,NA,NA,NA
MISBJANMD1_2001-04-17,MISBJANMD1,NA,nn,2001-04-17,NA,NA,NA,NA,NA
PERRCHRMD1_2001-04-17,PERRCHRMD1,NA,nn,2001-04-17,NA,NA,NA,NA,NA
BEALTOMMD1_2001-04-18,BEALTOMMD1,NA,nn,2001-04-18,NA,NA,NA,NA,NA
SPEYPAUMD1_2001-04-18,SPEYPAUMD1,NA,nn,2001-04-18,NA,NA,NA,NA,NA
BURRANDMD1_2001-04-18,BURRANDMD1,NA,nn,2001-04-18,NA,NA,NA,NA,NA
HAMIMARMD1_2001-04-18,HAMIMARMD1,NA,nn,2001-04-18,NA,NA,NA,NA,NA
HELFGAIMD1_2001-04-19,HELFGAIMD1,NA,nn,2001-04-19,NA,NA,NA,NA,NA
CAINBRIMD1_2001-04-19,CAINBRIMD1,NA,nn,2001-04-19,NA,NA,NA,NA,NA
WIKACORMD1_2001-04-19,WIKACORMD1,NA,nn,2001-04-19,NA,NA,NA,NA,NA
MILLPAUMD1_2001-04-20,MILLPAUMD1,NA,nn,2001-04-20,NA,NA,NA,NA,NA
DORNROBMD1_2001-04-20,DORNROBMD1,NA,nn,2001-04-20,NA,NA,NA,NA,NA
GORDELIDC1_2001-04-21,GORDELIDC1,NA,nn,2001-04-21,NA,NA,NA,NA,NA
TINIKATMD1_2001-04-23,TINIKATMD1,NA,nn,2001-04-23,NA,NA,NA,NA,NA
GALLTERMD1_2001-04-23,GALLTERMD1,NA,nn,2001-04-23,NA,NA,NA,NA,NA
SINGTONMD1_2001-04-24,SINGTONMD1,NA,nn,2001-04-24,NA,NA,NA,NA,NA
RICHLIBMD1_2001-04-24,RICHLIBMD1,NA,nn,2001-04-24,NA,NA,NA,NA,NA
NICHALIMD1_2001-04-24,NICHALIMD1,NA,nn,2001-04-24,NA,NA,NA,NA,NA
WELLCARMD1_2001-04-25,WELLCARMD1,NA,nn,2001-04-25,NA,NA,NA,NA,NA
HARRPHYMD1_2001-04-25,HARRPHYMD1,NA,nn,2001-04-25,NA,NA,NA,NA,NA
DAVIALIVA1_2001-04-26,DAVIALIVA1,NA,nn,2001-04-26,NA,NA,NA,NA,NA
HAMIMARMD1_2001-04-26,HAMIMARMD1,NA,nn,2001-04-26,NA,NA,NA,NA,NA
VERSBETMD1_2001-04-26,VERSBETMD1,NA,nn,2001-04-26,NA,NA,NA,NA,NA
MASORICMD1_2001-04-27,MASORICMD1,NA,nn,2001-04-27,NA,NA,NA,NA,NA
SWANELIMD1_2001-04-27,SWANELIMD1,NA,nn,2001-04-27,NA,NA,NA,NA,NA
DORNROBMD1_2001-04-30,DORNROBMD1,NA,nn,2001-04-30,NA,NA,NA,NA,NA
FAGABERMD1_2001-04-30,FAGABERMD1,NA,nn,2001-04-30,NA,NA,NA,NA,NA
COULMARMD1_2001-05-01,COULMARMD1,NA,nn,2001-05-01,NA,NA,NA,NA,NA
BALAELEMD1_2001-05-01,BALAELEMD1,NA,nn,2001-05-01,NA,NA,NA,NA,NA
GARDVALMD1_2001-05-01,GARDVALMD1,NA,nn,2001-05-01,NA,NA,NA,NA,NA
HADDMARMD1_2001-05-02,HADDMARMD1,NA,nn,2001-05-02,NA,NA,NA,NA,NA
KINDFARMD1_2001-05-02,KINDFARMD1,NA,nn,2001-05-02,NA,NA,NA,NA,NA
CAINBRIMD1_2001-05-02,CAINBRIMD1,NA,nn,2001-05-02,NA,NA,NA,NA,NA
ONTAHOUDC1_2001-05-02,ONTAHOUDC1,NA,nn,2001-05-02,NA,NA,NA,NA,NA
MOSMCARMD1_2001-05-03,MOSMCARMD1,NA,nn,2001-05-03,NA,NA,NA,NA,NA
KINDFARMD1_2001-05-04,KINDFARMD1,NA,nn,2001-05-04,NA,NA,NA,NA,NA
REIRJEAMD1_2001-05-05,REIRJEAMD1,NA,nn,2001-05-05,NA,NA,NA,NA,NA
BLANBETMD1_2001-05-05,BLANBETMD1,NA,nn,2001-05-05,NA,NA,NA,NA,NA
HADDMARMD1_2001-05-07,HADDMARMD1,NA,nn,2001-05-07,NA,NA,NA,NA,NA
SULLPAUVA1_2001-05-07,SULLPAUVA1,NA,nn,2001-05-07,NA,NA,NA,NA,NA
MOLIKARMD1_2001-05-07,MOLIKARMD1,NA,nn,2001-05-07,NA,NA,NA,NA,NA
PATSNADMD1_2001-05-08,PATSNADMD1,NA,nn,2001-05-08,NA,NA,NA,NA,NA
GEHRDALMD1_2001-05-08,GEHRDALMD1,NA,nn,2001-05-08,NA,NA,NA,NA,NA
ROHRSALMD1_2001-05-08,ROHRSALMD1,NA,nn,2001-05-08,NA,NA,NA,NA,NA
WILLRAJMD1_2001-05-09,WILLRAJMD1,NA,nn,2001-05-09,NA,NA,NA,NA,NA
CAUSSUSMD1_2001-05-09,CAUSSUSMD1,NA,nn,2001-05-09,NA,NA,NA,NA,NA
HUNTBRIMD1_2001-05-10,HUNTBRIMD1,NA,nn,2001-05-10,NA,NA,NA,NA,NA
CAMPGLOMD1_2001-05-11,CAMPGLOMD1,NA,nn,2001-05-11,NA,NA,NA,NA,NA
NZPSMBCDC1_2001-05-11,NZPSMBCDC1,NA,nn,2001-05-11,NA,NA,NA,NA,NA
HUNTBRIMD1_2001-05-14,HUNTBRIMD1,NA,nn,2001-05-14,NA,NA,NA,NA,NA
KINDFARMD1_2001-05-14,KINDFARMD1,NA,nn,2001-05-14,NA,NA,NA,NA,NA
LUCIDANMD1_2001-05-14,LUCIDANMD1,NA,nn,2001-05-14,NA,NA,NA,NA,NA
SCHLROBMD1_2001-05-15,SCHLROBMD1,NA,nn,2001-05-15,NA,NA,NA,NA,NA
REITBOBMD1_2001-05-15,REITBOBMD1,NA,nn,2001-05-15,NA,NA,NA,NA,NA
ONTAHOUDC1_2001-05-15,ONTAHOUDC1,NA,nn,2001-05-15,NA,NA,NA,NA,NA
ROHRSALMD1_2001-05-15,ROHRSALMD1,NA,nn,2001-05-15,NA,NA,NA,NA,NA
PATSNADMD1_2001-05-16,PATSNADMD1,NA,nn,2001-05-16,NA,NA,NA,NA,NA
TATEJUAMD1_2001-05-16,TATEJUAMD1,NA,nn,2001-05-16,NA,NA,NA,NA,NA
GOUGGREMD1_2001-05-17,GOUGGREMD1,NA,nn,2001-05-17,NA,NA,NA,NA,NA
CARLSHIMD1_2001-05-17,CARLSHIMD1,NA,nn,2001-05-17,NA,NA,NA,NA,NA
HERBJOAMD1_2001-05-18,HERBJOAMD1,NA,nn,2001-05-18,NA,NA,NA,NA,NA
CORCJOEMD1_2001-05-18,CORCJOEMD1,NA,nn,2001-05-18,NA,NA,NA,NA,NA
NAYLMICMD1_2001-05-19,NAYLMICMD1,NA,nn,2001-05-19,NA,NA,NA,NA,NA
MISBJANMD1_2001-05-22,MISBJANMD1,NA,nn,2001-05-22,NA,NA,NA,NA,NA
OWENJOHMD1_2001-05-22,OWENJOHMD1,NA,nn,2001-05-22,NA,NA,NA,NA,NA
STAVKORMD1_2001-05-23,STAVKORMD1,NA,nn,2001-05-23,NA,NA,NA,NA,NA
CAMPROSMD1_2001-05-23,CAMPROSMD1,NA,nn,2001-05-23,NA,NA,NA,NA,NA
FARYSIMMD1_2001-05-23,FARYSIMMD1,NA,nn,2001-05-23,NA,NA,NA,NA,NA
WINGJERMD1_2001-05-24,WINGJERMD1,NA,nn,2001-05-24,NA,NA,NA,NA,NA
MAHOJIMMD1_2001-05-24,MAHOJIMMD1,NA,nn,2001-05-24,NA,NA,NA,NA,NA
RAUNERIMD1_2001-05-24,RAUNERIMD1,NA,nn,2001-05-24,NA,NA,NA,NA,NA
KAUFRAYMD1_2001-05-25,KAUFRAYMD1,NA,nn,2001-05-25,NA,NA,NA,NA,NA
GOCHJOAMD1_2001-05-25,GOCHJOAMD1,NA,nn,2001-05-25,NA,NA,NA,NA,NA
LLEISUEDC1_2001-05-29,LLEISUEDC1,NA,nn,2001-05-29,NA,NA,NA,NA,NA
TAYLGLOMD1_2001-05-30,TAYLGLOMD1,NA,nn,2001-05-30,NA,NA,NA,NA,NA
GELLNERMD1_2001-05-30,GELLNERMD1,NA,nn,2001-05-30,NA,NA,NA,NA,NA
EVANMICMD1_2001-05-30,EVANMICMD1,NA,nn,2001-05-30,NA,NA,NA,NA,NA
FREYFREMD1_2001-05-30,FREYFREMD1,NA,nn,2001-05-30,NA,NA,NA,NA,NA
EVANMICMD1_2001-05-31,EVANMICMD1,NA,nn,2001-05-31,NA,NA,NA,NA,NA
OBRICHRMD1_2001-05-31,OBRICHRMD1,NA,nn,2001-05-31,NA,NA,NA,NA,NA
CAMPGLOMD1_2001-05-31,CAMPGLOMD1,NA,nn,2001-05-31,NA,NA,NA,NA,NA
BAINANDMD1_2001-06-01,BAINANDMD1,NA,nn,2001-06-01,NA,NA,NA,NA,NA
DALEELIMD1_2001-06-01,DALEELIMD1,NA,nn,2001-06-01,NA,NA,NA,NA,NA
EARLNANMD1_2001-06-01,EARLNANMD1,NA,nn,2001-06-01,NA,NA,NA,NA,NA
KORRHARMD1_2001-06-01,KORRHARMD1,NA,nn,2001-06-01,NA,NA,NA,NA,NA
BLOCDAVMD1_2001-06-02,BLOCDAVMD1,NA,nn,2001-06-02,NA,NA,NA,NA,NA
SCHOPAUMD1_2001-06-04,SCHOPAUMD1,NA,nn,2001-06-04,NA,NA,NA,NA,NA
JEWELIBMD1_2001-06-04,JEWELIBMD1,NA,nn,2001-06-04,NA,NA,NA,NA,NA
NORTHESMD1_2001-06-05,NORTHESMD1,NA,nn,2001-06-05,NA,NA,NA,NA,NA
GIBSELAMD1_2001-06-05,GIBSELAMD1,NA,nn,2001-06-05,NA,NA,NA,NA,NA
AMERICOMD1_2001-06-05,AMERICOMD1,NA,nn,2001-06-05,NA,NA,NA,NA,NA
MESEBARMD1_2001-06-06,MESEBARMD1,NA,nn,2001-06-06,NA,NA,NA,NA,NA
JOHNTHEMD1_2001-06-06,JOHNTHEMD1,NA,nn,2001-06-06,NA,NA,NA,NA,NA
FERRSUEMD1_2001-06-06,FERRSUEMD1,NA,nn,2001-06-06,NA,NA,NA,NA,NA
SANFCARMD1_2001-06-06,SANFCARMD1,NA,nn,2001-06-06,NA,NA,NA,NA,NA
WILELINMD1_2001-06-06,WILELINMD1,NA,nn,2001-06-06,NA,NA,NA,NA,NA
MCKEJANMD1_2001-06-08,MCKEJANMD1,NA,nn,2001-06-08,NA,NA,NA,NA,NA
LLANMATMD1_2001-06-08,LLANMATMD1,NA,nn,2001-06-08,NA,NA,NA,NA,NA
BARBJERMD1_2001-06-08,BARBJERMD1,NA,nn,2001-06-08,NA,NA,NA,NA,NA
JONECBRMD1_2001-06-09,JONECBRMD1,NA,nn,2001-06-09,NA,NA,NA,NA,NA
LORAJORMD1_2001-06-09,LORAJORMD1,NA,nn,2001-06-09,NA,NA,NA,NA,NA
MCCOCHRMD1_2001-06-11,MCCOCHRMD1,NA,nn,2001-06-11,NA,NA,NA,NA,NA
TUFTKATMD1_2001-06-11,TUFTKATMD1,NA,nn,2001-06-11,NA,NA,NA,NA,NA
OWENJOHMD1_2001-06-11,OWENJOHMD1,NA,nn,2001-06-11,NA,NA,NA,NA,NA
PERNMIKMD1_2001-06-11,PERNMIKMD1,NA,nn,2001-06-11,NA,NA,NA,NA,NA
WALTBONMD1_2001-06-12,WALTBONMD1,NA,nn,2001-06-12,NA,NA,NA,NA,NA
FUTRIVAVA1_2001-06-12,FUTRIVAVA1,NA,nn,2001-06-12,NA,NA,NA,NA,NA
BEALTOMMD1_2001-06-12,BEALTOMMD1,NA,nn,2001-06-12,NA,NA,NA,NA,NA
RAYTIMMD1_2001-06-12,RAYTIMMD1,NA,nn,2001-06-12,NA,NA,NA,NA,NA
CONNBARMD1_2001-06-13,CONNBARMD1,NA,nn,2001-06-13,NA,NA,NA,NA,NA
STURCARMD1_2001-06-13,STURCARMD1,NA,nn,2001-06-13,NA,NA,NA,NA,NA
MCKEANNVA1_2001-06-14,MCKEANNVA1,NA,nn,2001-06-14,NA,NA,NA,NA,NA
BURKSANMD1_2001-06-14,BURKSANMD1,NA,nn,2001-06-14,NA,NA,NA,NA,NA
CONAGAIMD1_2001-06-15,CONAGAIMD1,NA,nn,2001-06-15,NA,NA,NA,NA,NA
COWLANDMD1_2001-06-15,COWLANDMD1,NA,nn,2001-06-15,NA,NA,NA,NA,NA
PICKCREMD1_2001-06-15,PICKCREMD1,NA,nn,2001-06-15,NA,NA,NA,NA,NA
COLALISMD1_2001-06-15,COLALISMD1,NA,nn,2001-06-15,NA,NA,NA,NA,NA
HUNTDAVMD2_2001-06-15,HUNTDAVMD2,NA,nn,2001-06-15,NA,NA,NA,NA,NA
RUSSJODMD1_2001-06-16,RUSSJODMD1,NA,nn,2001-06-16,NA,NA,NA,NA,NA
MCCAKEVMD1_2001-06-16,MCCAKEVMD1,NA,nn,2001-06-16,NA,NA,NA,NA,NA
STORPATMD1_2001-06-18,STORPATMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
MORAANGMD1_2001-06-18,MORAANGMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
SPEYPAUMD1_2001-06-18,SPEYPAUMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
CORCJOEMD1_2001-06-18,CORCJOEMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
BRUEELIMD1_2001-06-18,BRUEELIMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
REIKROBMD1_2001-06-18,REIKROBMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
STANJEFMD1_2001-06-18,STANJEFMD1,NA,nn,2001-06-18,NA,NA,NA,NA,NA
BEALTOMMD1_2001-06-19,BEALTOMMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
BARNDORMD1_2001-06-19,BARNDORMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
ANDEMIKMD1_2001-06-19,ANDEMIKMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
BERNCHRMD1_2001-06-19,BERNCHRMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
MALLBARMD1_2001-06-19,MALLBARMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
BURNNANMD1_2001-06-19,BURNNANMD1,NA,nn,2001-06-19,NA,NA,NA,NA,NA
SHEEMARMD1_2001-06-20,SHEEMARMD1,NA,nn,2001-06-20,NA,NA,NA,NA,NA
COLSKATMD1_2001-06-20,COLSKATMD1,NA,nn,2001-06-20,NA,NA,NA,NA,NA
MERRJOAMD1_2001-06-20,MERRJOAMD1,NA,nn,2001-06-20,NA,NA,NA,NA,NA
RABIANDMD1_2001-06-20,RABIANDMD1,NA,nn,2001-06-20,NA,NA,NA,NA,NA
ANDRKENVA1_2001-06-20,ANDRKENVA1,NA,nn,2001-06-20,NA,NA,NA,NA,NA
SCOLWENMD1_2001-06-21,SCOLWENMD1,NA,nn,2001-06-21,NA,NA,NA,NA,NA
MCGHDENMD1_2001-06-21,MCGHDENMD1,NA,nn,2001-06-21,NA,NA,NA,NA,NA
MISSEDDC1_2001-06-22,MISSEDDC1,NA,nn,2001-06-22,NA,NA,NA,NA,NA
EDEREDWVA1_2001-06-22,EDEREDWVA1,NA,nn,2001-06-22,NA,NA,NA,NA,NA
MANNJANDC1_2001-06-22,MANNJANDC1,NA,nn,2001-06-22,NA,NA,NA,NA,NA
HUTCBARVA1_2001-06-22,HUTCBARVA1,NA,nn,2001-06-22,NA,NA,NA,NA,NA
FUTRIVAVA1_2001-06-23,FUTRIVAVA1,NA,nn,2001-06-23,NA,NA,NA,NA,NA
HARWRANDC1_2001-06-25,HARWRANDC1,NA,nn,2001-06-25,NA,NA,NA,NA,NA
CAMPGLOMD1_2001-06-25,CAMPGLOMD1,NA,nn,2001-06-25,NA,NA,NA,NA,NA
SALOSHEMD1_2001-06-25,SALOSHEMD1,NA,nn,2001-06-25,NA,NA,NA,NA,NA
LERNJEFMD1_2001-06-26,LERNJEFMD1,NA,nn,2001-06-26,NA,NA,NA,NA,NA
MUTRCYNMD1_2001-06-26,MUTRCYNMD1,NA,nn,2001-06-26,NA,NA,NA,NA,NA
BROWANNMD1_2001-06-26,BROWANNMD1,NA,nn,2001-06-26,NA,NA,NA,NA,NA
BROWANNDC1_2001-06-26,BROWANNDC1,NA,nn,2001-06-26,NA,NA,NA,NA,NA
TUNICATMD1_2001-06-27,TUNICATMD1,NA,nn,2001-06-27,NA,NA,NA,NA,NA
URBABETMD1_2001-06-28,URBABETMD1,NA,nn,2001-06-28,NA,NA,NA,NA,NA
DRAKBERMD1_2001-06-28,DRAKBERMD1,NA,nn,2001-06-28,NA,NA,NA,NA,NA
MCCOJOHMD1_2001-06-29,MCCOJOHMD1,NA,nn,2001-06-29,NA,NA,NA,NA,NA
REITBOBMD1_2001-07-02,REITBOBMD1,NA,nn,2001-07-02,NA,NA,NA,NA,NA
HUNTDAVMD2_2001-07-02,HUNTDAVMD2,NA,nn,2001-07-02,NA,NA,NA,NA,NA
UNGELAUDC1_2001-07-03,UNGELAUDC1,NA,nn,2001-07-03,NA,NA,NA,NA,NA
GOMEKARMD1_2001-07-03,GOMEKARMD1,NA,nn,2001-07-03,NA,NA,NA,NA,NA
JACOAMYMD1_2001-07-06,JACOAMYMD1,NA,nn,2001-07-06,NA,NA,NA,NA,NA
ODELVINMD1_2001-07-09,ODELVINMD1,NA,nn,2001-07-09,NA,NA,NA,NA,NA
WOODELEVA1_2001-07-10,WOODELEVA1,NA,nn,2001-07-10,NA,NA,NA,NA,NA
WOODPAUVA1_2001-07-10,WOODPAUVA1,NA,nn,2001-07-10,NA,NA,NA,NA,NA
BARBJERMD1_2001-07-13,BARBJERMD1,NA,nn,2001-07-13,NA,NA,NA,NA,NA
RICHLIBMD1_2001-07-30,RICHLIBMD1,NA,nn,2001-07-30,NA,NA,NA,NA,NA
MARRPETMD1_2001-08-01,MARRPETMD1,NA,nn,2001-08-01,NA,NA,NA,NA,NA
LLANMATMD1_2001-08-07,LLANMATMD1,NA,nn,2001-08-07,NA,NA,NA,NA,NA
REILJENMD1_2001-08-09,REILJENMD1,NA,nn,2001-08-09,NA,NA,NA,NA,NA
REITBOBMD1_2001-08-22,REITBOBMD1,NA,nn,2001-08-22,NA,NA,NA,NA,NA
GROSJEAMD1_2001-08-29,GROSJEAMD1,NA,nn,2001-08-29,NA,NA,NA,NA,NA
OMLAKEVMD1_2001-09-04,OMLAKEVMD1,NA,nn,2001-09-04,NA,NA,NA,NA,NA
MCLERICMD1_2001-09-07,MCLERICMD1,NA,nn,2001-09-07,NA,NA,NA,NA,NA
CAMPGLOMD1_2002-03-15,CAMPGLOMD1,NA,nn,2002-03-15,NA,NA,NA,NA,NA
BROWANNDC1_2002-04-09,BROWANNDC1,NA,nn,2002-04-09,NA,NA,NA,NA,NA
MERRJOAMD1_2002-04-17,MERRJOAMD1,NA,nn,2002-04-17,NA,NA,NA,NA,NA
BROWANNDC1_2002-04-17,BROWANNDC1,NA,nn,2002-04-17,NA,NA,NA,NA,NA
SEMMLUTMD1_2002-04-18,SEMMLUTMD1,NA,nn,2002-04-18,NA,NA,NA,NA,NA
JEWELIBMD1_2002-04-18,JEWELIBMD1,NA,nn,2002-04-18,NA,NA,NA,NA,NA
COLALISMD1_2002-04-19,COLALISMD1,NA,nn,2002-04-19,NA,NA,NA,NA,NA
RUSSJODMD1_2002-04-20,RUSSJODMD1,NA,nn,2002-04-20,NA,NA,NA,NA,NA
MORAANGMD1_2002-04-21,MORAANGMD1,NA,nn,2002-04-21,NA,NA,NA,NA,NA
GILLEVAMD1_2002-04-23,GILLEVAMD1,NA,nn,2002-04-23,NA,NA,NA,NA,NA
MCGHDENMD1_2002-04-24,MCGHDENMD1,NA,nn,2002-04-24,NA,NA,NA,NA,NA
COLSKATMD1_2002-04-26,COLSKATMD1,NA,nn,2002-04-26,NA,NA,NA,NA,NA
GOMEKARMD1_2002-04-26,GOMEKARMD1,NA,nn,2002-04-26,NA,NA,NA,NA,NA
MCCOJOHMD1_2002-04-27,MCCOJOHMD1,NA,nn,2002-04-27,NA,NA,NA,NA,NA
BERNCHRMD1_2002-04-28,BERNCHRMD1,NA,nn,2002-04-28,NA,NA,NA,NA,NA
URBABETMD1_2002-04-30,URBABETMD1,NA,nn,2002-04-30,NA,NA,NA,NA,NA
